critic,title,rating
D1,아르곤 18 갈리움 cs,1.1
D1,엘파마 레이다 로드,1.3
D1,스페셜라이즈드 프레임,1.1
D1,치넬리 벨트릭스,4.4
D1,치넬리 비고렐리 샤크,4.7
D2,아르곤 18 갈리움 cs,1.1
D2,엘파마 레이다 로드,1.3
D2,스페셜라이즈드 프레임,1.1
D2,치넬리 벨트릭스,4.4
D2,치넬리 비고렐리 샤크,4.7
D3,아르곤 18 갈리움 cs,1.1
D3,엘파마 레이다 로드,1.3
D3,스페셜라이즈드 프레임,1.1
D3,치넬리 벨트릭스,4.4
D3,치넬리 비고렐리 샤크,4.7
D4,아르곤 18 갈리움 cs,1.1
D4,엘파마 레이다 로드,1.3
D4,스페셜라이즈드 프레임,1.1
D4,치넬리 벨트릭스,4.4
D4,치넬리 비고렐리 샤크,4.7
D6,아르곤 18 갈리움 cs,1.1
D6,엘파마 레이다 로드,1.3
D6,스페셜라이즈드 프레임,1.1
D6,치넬리 벨트릭스,4.4
D6,치넬리 비고렐리 샤크,4.7
D7,아르곤 18 갈리움 cs,1.1
D7,엘파마 레이다 로드,1.3
D7,스페셜라이즈드 프레임,1.1
D7,치넬리 벨트릭스,4.4
D7,치넬리 비고렐리 샤크,4.7
D8,아르곤 18 갈리움 cs,1.1
D8,엘파마 레이다 로드,1.3
D8,스페셜라이즈드 프레임,1.1
D8,치넬리 벨트릭스,4.4
D8,치넬리 비고렐리 샤크,4.7
D9,아르곤 18 갈리움 cs,1.1
D9,엘파마 레이다 로드,1.3
D9,스페셜라이즈드 프레임,1.1
D9,치넬리 벨트릭스,4.4
D9,치넬리 비고렐리 샤크,4.7
D10,아르곤 18 갈리움 cs,1.1
D10,엘파마 레이다 로드,1.3
D10,스페셜라이즈드 프레임,1.1
D10,치넬리 벨트릭스,4.4
D10,치넬리 비고렐리 샤크,4.7
D11,아르곤 18 갈리움 cs,1.1
D11,엘파마 레이다 로드,1.3
D11,스페셜라이즈드 프레임,1.1
D11,치넬리 벨트릭스,4.4
